Tarefa,Status,Área,Prioridade,Data de Entrega,Responsável,Etiquetas
Criar landing page da campanha Q1,A Fazer,Marketing,Média,30 de janeiro de 2026,,"Conteúdo, Frontend, SEO"
Pagina Ajuda,A Fazer,Páginas,,,,
indiquee ganhe,A Fazer,Páginas,,,,
Pagina da notificação,A Fazer,Páginas,,,,
Notificações,A Fazer,Páginas,,,,
"Resultado de busca ",A Fazer,Páginas,,,,
Pagina de Cupons,A Fazer,Páginas,,,,
"Pagina de categoria ",A Fazer,Páginas,,,,
checkout,A Fazer,Páginas,,,,
Forma de pagamento,A Fazer,Páginas,,,,
"Escolher entrega ",A Fazer,Páginas,,,,
Historico de pedidos,A Fazer,Páginas,,,,
Favoritos,A Fazer,Páginas,,,,
Pagina do produto,A Fazer,Páginas,,,,
Pagina do entregador,A Fazer,Páginas,,,,
Meu Pedido,A Fazer,Páginas,,,,
Sacola,A Fazer,Páginas,,,,
Página Inicial,A Fazer,Páginas,,,,
Meus Dados,A Fazer,Páginas,,,,
Boletos,A Fazer,Páginas,,,,
Painel,A Fazer,Páginas,,,,
Estabelecimentos,A Fazer,Páginas,,,,
