Tarefa,Data de Entrega,Data de Início,Dependências,Descrição,Etiquetas,Notas de Progresso,Percentual Concluído,Prioridade,Responsável,Status,Área
Criar landing page da campanha Q1,30 de janeiro de 2026,22 de janeiro de 2026,Aprovação das artes pelo time de Design,"Desenvolver landing page para a campanha do primeiro trimestre, otimizada para conversão e SEO.","Conteúdo, Frontend, SEO",Aguardando assets do time de design para iniciar o desenvolvimento.,0%,Média,,A Fazer,Marketing
Estabelecimentos,,,,,,,,,,A Fazer,Páginas
Painel,,,,,,,,,,A Fazer,Páginas
Boletos,,,,,,,,,,A Fazer,Páginas
Meus Dados,,,,,,,,,,A Fazer,Páginas
Página Inicial,,,,,,,,,,A Fazer,Páginas
Sacola,,,,,,,,,,A Fazer,Páginas
Meu Pedido,,,,,,,,,,A Fazer,Páginas
Pagina do entregador,,,,,,,,,,A Fazer,Páginas
Pagina do produto,,,,,,,,,,A Fazer,Páginas
Favoritos,,,,,,,,,,A Fazer,Páginas
Historico de pedidos,,,,,,,,,,A Fazer,Páginas
"Escolher entrega ",,,,,,,,,,A Fazer,Páginas
Forma de pagamento,,,,,,,,,,A Fazer,Páginas
checkout,,,,,,,,,,A Fazer,Páginas
"Pagina de categoria ",,,,,,,,,,A Fazer,Páginas
Pagina de Cupons,,,,,,,,,,A Fazer,Páginas
"Resultado de busca ",,,,,,,,,,A Fazer,Páginas
Notificações,,,,,,,,,,A Fazer,Páginas
Pagina da notificação,,,,,,,,,,A Fazer,Páginas
indiquee ganhe,,,,,,,,,,A Fazer,Páginas
Pagina Ajuda,,,,,,,,,,A Fazer,Páginas
